Compound,Polar
BACE_85,47.25177934000005
BACE_86,46.71801929
BACE_87,80.38979075999985
BACE_88,96.14348165999998
BACE_89,54.225670250000015
BACE_90,72.83487105000009
BACE_91,41.64514899999991
BACE_92,51.97773084000001
BACE_93,73.32153984999997
BACE_94,45.350491290000036
BACE_95,46.75647057999995
BACE_96,59.15960079999988
BACE_97,45.739420070000044
BACE_98,78.30615921999994
BACE_99,44.84076986999999
BACE_100,67.65176950000011
BACE_101,55.94039997
BACE_102,64.07403916000007
BACE_103,80.80287712000012
BACE_104,76.27606191000001
BACE_105,109.57529994999996
BACE_106,64.80693091999996
BACE_107,63.77987846000006
BACE_108,65.26728050999995
BACE_109,71.20957998999995
BACE_110,45.029949529999996
BACE_111,61.43562996000004
BACE_112,64.32846947000003
BACE_113,44.09310042999998
BACE_114,104.92535021999993
BACE_115,56.58709120999995
BACE_117,81.71107989000011
BACE_118,55.85322105999996
BACE_119,46.22967996000005
BACE_120,66.65105923000004
BACE_121,75.09936977999995
BACE_122,50.80152878999992
BACE_123,45.63018015999997
BACE_124,44.87899942000007
BACE_125,42.09367883999996
BACE_126,79.88391864000013
BACE_127,60.75985920000007
BACE_128,41.66636902000002
BACE_129,52.20570006999998
BACE_130,55.67276062999994
BACE_131,53.80704057000006
BACE_132,53.118699860000014
BACE_133,52.69705927000006
BACE_134,49.58504945999997
BACE_135,63.770718680000016
BACE_136,71.94294894000004
BACE_137,39.91805066000004
BACE_138,47.89059891000001
BACE_139,54.698231149999984
BACE_140,64.68583116999999
BACE_141,48.81656942000002
BACE_142,43.34063903999996
BACE_143,53.312351060000026
BACE_144,50.78221945000006
BACE_145,76.25025081999993
BACE_146,50.83721935000001
BACE_147,70.07598871999993
BACE_148,39.34100023000002
BACE_149,55.094918789999994
BACE_150,69.67164183000004
BACE_151,55.24609947999999
BACE_152,62.14639981000005
BACE_153,47.87247996000007
BACE_154,52.27050014999997
BACE_155,46.42686936999998
BACE_156,59.73775989000009
BACE_157,45.800029269999975
BACE_158,51.98327912999994
BACE_159,62.87666923000009
BACE_160,72.93200162000005
BACE_161,47.259610659999964
BACE_162,45.348558649999994
BACE_163,38.86137023000004
BACE_164,55.80684017000008
BACE_165,43.43700085999996
BACE_166,47.948330719999966
BACE_167,48.97961154000001
BACE_168,46.338940670000056
BACE_169,41.83210948000004
BACE_170,44.10757916000001
BACE_171,47.20584016999996
BACE_172,33.07130087000004
BACE_173,50.25890079999999
BACE_174,46.70959998
BACE_175,44.85642937000003
BACE_176,39.85934010000004
BACE_177,42.195831330000026
BACE_178,43.89223127999996
BACE_179,32.09057965000003
BACE_180,40.16943132
BACE_181,44.03220991
BACE_182,29.496280730000038
BACE_183,31.913250340000022
BACE_184,47.72971993999997
BACE_185,42.79108042999997
BACE_186,34.90503976999996
BACE_187,38.94685057000003
BACE_188,47.52997143000002
BACE_189,40.41691018000005
BACE_190,37.73546072999996
BACE_191,35.811880649999964
BACE_192,32.186760739999976
BACE_193,46.09230934
BACE_194,30.16638014999998
BACE_195,34.095970710000046
BACE_196,26.782569519999985
BACE_197,32.76060088000005
BACE_198,29.199329519999996
BACE_199,27.476170690000032
BACE_200,29.578910620000038
BACE_201,32.165990740000005
BACE_202,22.829899130000047
BACE_203,22.86131917000005
BACE_204,33.36362086000004
BACE_205,21.396780390000025
